Track ID,From Track,Signal Name,Direction,Station ID,Next Station,Distance to Station,Length,Trip Count,Trip Total,Percent,Is Revenue,Line
TYKM58T,TYKM60T,S487(X58),2,YKM,YKM2,304.8,152.4,3889.248,30171.1944,0.128906,1,1
TYKM56T,TYKM58T,S483(X56),2,YKM,YKM2,152.4,152.4,4041.648,30171.1944,0.133957176,1,1
TYKM54T,TYKM56T,S477GT(X54),2,YKM,YKM2,0,160.9344,4194.048,30171.1944,0.139008352,1,1
TYKM48TB,TYKM54T,S471GT(X48),2,LAW,LAW2,1759.3056,82.9056,4354.9824,30171.1944,0.144342393,1,1
TYKM469T,TYKM48TB,S469*,2,LAW,LAW2,1676.4,121.92,4437.888,30171.1944,0.147090233,1,1
TYKM38T,TYKM469T,S465(X38),2,LAW,LAW2,1554.48,60.96,4559.808,30171.1944,0.151131173,1,1
TYKM463T,TYKM38T,S463*,2,LAW,LAW2,1493.52,106.68,4620.768,30171.1944,0.153151643,1,1
TYKM14TA,TYKM463T,S459(X14),2,LAW,LAW2,1386.84,73.7616,4727.448,30171.1944,0.156687466,1,1
TYKM457T,TYKM14TA,NA458(X8),2,LAW,LAW2,1313.0784,240.792,4801.2096,30171.1944,0.159132235,1,1
TYKM449T,TYKM457T,S449,2,LAW,LAW2,1072.2864,340.7664,5042.0016,30171.1944,0.167113092,1,1
TLAW439T,TYKM449T,S439,2,LAW,LAW2,731.52,316.992,5382.768,30171.1944,0.178407521,1,1
TLAW427T,TLAW439T,S427,2,LAW,LAW2,414.528,128.016,5699.76,30171.1944,0.188913966,1,1
TLAW423T,TLAW427T,S423,2,LAW,LAW2,286.512,152.4,5827.776,30171.1944,0.193156954,1,1
TLAW20T,TLAW423T,S419(X20),2,LAW,LAW2,134.112,134.112,5980.176,30171.1944,0.198208129,1,1
TLAW18T,TLAW20T,S415(X18),2,LAW,LAW2,0,162.7632,6114.288,30171.1944,0.202653164,1,1
TLAW16TA,TLAW18T,S409(X16),2,EGL,EGL2,2175.0528,138.0744,6277.0512,30171.1944,0.208047819,1,1
TLAW403T,TLAW16TA,NA404(X12),2,EGL,EGL2,2036.9784,162.4584,6415.1256,30171.1944,0.212624184,1,1
TLAW399T,TLAW403T,S399,2,EGL,EGL2,1874.52,219.456,6577.584,30171.1944,0.218008737,1,1
TLAW393T,TLAW399T,S393,2,EGL,EGL2,1655.064,353.568,6797.04,30171.1944,0.22528243,1,1
TLAW381T,TLAW393T,S381,2,EGL,EGL2,1301.496,457.2,7150.608,30171.1944,0.237001158,1,1
TEGL365T,TLAW381T,S365,2,EGL,EGL2,844.296,457.2,7607.808,30171.1944,0.252154684,1,1
TEGL68T,TEGL365T,S551ST(X68),2,EGL,EGL2,387.096,121.92,8065.008,30171.1944,0.267308211,1,1
TEGL66T,TEGL68T,S347(X66),2,EGL,EGL2,265.176,124.968,8186.928,30171.1944,0.271349151,1,1
TEGL64TA,TEGL66T,S341(X64),2,EGL,EGL2,140.208,140.208,8311.896,30171.1944,0.275491115,1,1
