Station ID,Station Name,PVSID,Next Station,Distance To Next Station,Previous Station ID,Line,Direction,Is End Station
LWW1,Lawrence West,ttc-lawrencewest1,GCN1,595.884,YKD1,1,1,0
GCN1,Glencairn,ttc-glencairn1,EGW1,845.2104,LWW1,1,1,0
EGW1,Eglinton West,ttc-eglintonwest1,SCW1,2399.9952,GCN1,1,1,0
SCW1,St Clair West,ttc-stclair-w1,DUP1,1279.5504,EGW1,1,1,0
DUP1,Dupont,ttc-dupont1,SPA1,402.6408,SCW1,1,1,0
SPA1,Spadina,ttc-spadina1,SGU1,472.2876,DUP1,1,1,0
SGU1,St George,ttc-stg-up1,MUS1,511.3782,SPA1,1,1,0
MUS1,Museum,ttc-museum1,QPK1,544.068,SGU1,1,1,0
QPK1,Queen's Park,ttc-queenspark1,STP1,483.7176,MUS1,1,1,0
STP1,St Patrick,ttc-stpatrick1,OSG1,267.9192,QPK1,1,1,0
OSG1,Osgoode,ttc-osgoode1,STA1,312.5724,STP1,1,1,0
STA1,St Andrew,ttc-standrew1,UNI1,352.044,OSG1,1,1,0
UNI1,Union,ttc-union1,KNG1,291.5412,STA1,1,1,0
KNG1,King,ttc-king1,QUN1,308.1528,UNI1,1,1,0
QUN1,Queen,ttc-queen1,DUN1,269.748,KNG1,1,1,0
DUN1,Dundas,ttc-dundas1,COL1,330.4032,QUN1,1,1,0
COL1,College,ttc-college1,WEL1,357.8352,DUN1,1,1,0
WEL1,Wellesley,ttc-wellesley1,BLO1,377.6472,COL1,1,1,0
BLO1,Bloor,ttc-bloor1,ROS1,579.7296,WEL1,1,1,0
ROS1,Rosedale,ttc-rosedale1,SUM1,418.1856,BLO1,1,1,0
SUM1,Summerhill,ttc-summerhill1,STC1,622.7064,ROS1,1,1,0
STC1,St Clair,ttc-stclair1,DAV1,959.8152,SUM1,1,1,0
DAV1,Davisville,ttc-davisville1,EGL1,733.9584,STC1,1,1,0
EGL1,Eglinton,ttc-eglinton1,LAW1,2179.9296,DAV1,1,1,0
LAW1,Lawrence,ttc-lawrence1,YKM1,1760.22,EGL1,1,1,0
YKM1,York Mills,ttc-yorkmills1,SHP1,1798.9296,LAW1,1,1,0
SHP1,Sheppard-Yonge,ttc-shepard-yonge1,NYC1,651.3576,YKM1,1,1,0
